,TIME,FLUX,FLUX_ERR
43,56983.7263773148,0.04310135414760691,0.00014426662656377674
206,56988.5187384259,0.03058140371946587,8.711806132435224e-05
97,56993.723599537,0.06652675991188148,0.0002103854686728812
216,56998.1694328704,0.04520326263414714,0.00018609665956076464
265,57003.5657523148,0.05921741589111728,0.0002444783349829308
195,57008.4229050926,0.03644995294041248,0.00014445776265020228
68,57013.5520601852,0.06811850822644447,0.0001901419984052554
81,57022.4270717593,0.2518434086508125,0.0017036275657503076
57,57033.7326273148,0.0014963097411367279,4.5636926347123664e-05
134,57038.4562384259,0.0014109041627809423,5.621427709936552e-05
302,57043.5805439815,0.0012419930307786587,3.6363266719810535e-05
50,57048.173599537,0.0017368984690866787,2.7762317814882758e-05
247,57053.2951273148,0.0016839376833774334,4.955720753827565e-05
388,57058.286099537,0.001631696009630407,5.761676941386005e-05
310,57063.0819328704,0.0019684395962676414,4.8765077853852764e-05
100,57073.5534490741,0.0002677912433278316,1.4442519377427757e-05
284,57078.0062268519,0.0004065126446741985,2.2128736890943622e-05
346,57086.0562384259,0.00024140844046791404,1.7945621048333256e-05
266,57088.579849537,0.000647800792367187,1.4582307123962459e-05
264,57093.1913078704,0.0005537120070845283,1.9060586481693346e-05
335,57098.1603935185,0.0007838075373747736,2.38463146199959e-05
204,57103.4888657407,0.0015028624828340783,4.141503872657665e-05
71,57108.3430439815,0.002044304967298126,5.870343987877906e-05
364,57113.123587963,0.0021533660307074655,6.026873394982575e-05
269,57125.3930439815,0.002006580713439617,5.7288171723866725e-05
117,57128.5180439815,0.0017826727822512825,2.9485417811407714e-05
338,57133.767349537,0.001964940083883891,5.5649076114485586e-05
220,57138.4263657407,0.0014268429947849714,5.494954328795655e-05
132,57143.8062384259,0.0013738124212974718,3.784424847286199e-05
399,57148.7284606481,0.0018101414963572638,2.8356021519536865e-05
40,57153.1145717593,0.0015837370918648167,4.7520655747099896e-05
102,57158.9076273148,0.000543627291572511,2.9387185359278784e-05
174,57168.0131828704,0.0017449869496322312,2.7832629608177677e-05
262,57183.1367939815,0.0015339891561589334,1.6442671395630223e-05
164,57188.392349537,0.0022268801120675055,3.486448596892881e-05
398,57193.3791435185,0.0015603025439050876,4.892332753730332e-05
154,57203.6090162037,0.0010721260086811206,3.50720048871107e-05
148,57208.9326157407,0.0018396604554006353,3.1260744120898325e-05
104,57213.0576157407,0.0017729356907311613,5.407589509542418e-05
